beta_w,alpha_w,delta_rho,k
0.0,1.0,3.590868213725247,100
0.1,0.9,3.590868213725237,100
0.2,0.8,3.5908682137252383,100
0.3,0.7,4.560365057434352,100
0.4,0.6,4.5613721505866165,100
0.5,0.5,4.564014879780475,100
0.6,0.4,4.565674917305774,100
0.7,0.3,4.570266911795614,100
0.8,0.2,4.5662346077902844,100
0.9,0.1,4.564727996802712,100
1.0,0.0,4.5685171385033545,100
